Organism,Genus,G.Size (MB),G.Size (pg),Angiosperm Group
Lonicera nitida,Lonicera,929.1,0.95,Eudicot
Lonicera coerulea,Lonicera,978,1,Eudicot
Lonicera periclymenum,Lonicera,2689.5,2.75,Eudicot
Lonicera vesicaria,Lonicera,3794.64,3.88,Eudicot
Loranthus europaeus,Loranthus,8068.5,8.25,Eudicot
Loranthus acaciae,Loranthus,14816.7,15.15,Eudicot
Lotus coimbrensis,Lotus,440.1,0.45,Eudicot
Lotus tenuis,Lotus,469.44,0.48,Eudicot
Lotus japonicus,Lotus,469.44,0.48,Eudicot
Lotus corniculatus,Lotus,469.44,0.48,Eudicot
Lotus alpinus,Lotus,469.44,0.48,Eudicot
Lotus borbasii,Lotus,489,0.5,Eudicot
Lotus filicaulis,Lotus,489,0.5,Eudicot
Lotus schoelleri,Lotus,489,0.5,Eudicot
Lotus krylovii,Lotus,518.34,0.53,Eudicot
Lotus burttii,Lotus,518.34,0.53,Eudicot
Lotus uliginosus,Lotus,537.9,0.55,Eudicot
Lotus pedunculatus,Lotus,537.9,0.55,Eudicot
Lotus dumetorum,Lotus,596.58,0.61,Eudicot
Lotus campylocladus,Lotus,606.36,0.62,Eudicot
Lotus glaucus,Lotus,606.36,0.62,Eudicot
Lotus palustris,Lotus,733.5,0.75,Eudicot
Lotus corniculatus,Lotus,1026.9,1.05,Eudicot
Lotus edulis,Lotus,1075.8,1.1,Eudicot
Lotus arenarius,Lotus,1105.14,1.13,Eudicot
Lotus berthelotii,Lotus,1193.16,1.22,Eudicot
Lotus glaucus,Lotus,1212.72,1.24,Eudicot
Lotus mascaënsis,Lotus,1222.5,1.25,Eudicot
Lotus sessilifolius,Lotus,1232.28,1.26,Eudicot
Lotus ornithopoides,Lotus,1271.4,1.3,Eudicot
Lotus requienii,Lotus,1300.74,1.33,Eudicot
Lotus cytisoides,Lotus,1369.2,1.4,Eudicot
Loxococcus rupicola,Loxococcus,3501.24,3.58,Monocot
Ludovia lancifolia,Ludovia,1271.4,1.3,Monocot
Ludwigia pilosa,Ludwigia,1026.9,1.05,Eudicot
Ludwigia peruviana,Ludwigia,1105.14,1.13,Eudicot
Luffa cylindrica,Luffa,831.3,0.85,Eudicot
Lugoa revoluta,Lugoa,5838.66,5.97,Eudicot
Lunaria biennis,Lunaria,1809.3,1.85,Eudicot
Lupinus princei,Lupinus,479.22,0.49,Eudicot
Lupinus micranthus,Lupinus,479.22,0.49,Eudicot
Lupinus pusillus,Lupinus,528.12,0.54,Eudicot
Lupinus nanus,Lupinus,537.9,0.55,Eudicot
Lupinus graecus,Lupinus,557.46,0.57,Eudicot
Lupinus concinnus,Lupinus,557.46,0.57,Eudicot
Lupinus termis,Lupinus,557.46,0.57,Eudicot
Lupinus vavilovi,Lupinus,557.46,0.57,Eudicot
Lupinus microcarpus,Lupinus,557.46,0.57,Eudicot
Lupinus luteolus,Lupinus,577.02,0.59,Eudicot
Lupinus albus,Lupinus,586.8,0.6,Eudicot
Lupinus anatolicus,Lupinus,586.8,0.6,Eudicot
Lupinus pilosus,Lupinus,616.14,0.63,Eudicot
Lupinus arizonicus,Lupinus,625.92,0.64,Eudicot
Lupinus digitatus,Lupinus,674.82,0.69,Eudicot
Lupinus bandelierae,Lupinus,674.82,0.69,Eudicot
Lupinus palaestinus,Lupinus,684.6,0.7,Eudicot
Lupinus arbustus,Lupinus,684.6,0.7,Eudicot
Lupinus argenteus,Lupinus,684.6,0.7,Eudicot
Lupinus garfieldensis,Lupinus,694.38,0.71,Eudicot
Lupinus cosentinii,Lupinus,694.38,0.71,Eudicot
Lupinus linearis,Lupinus,694.38,0.71,Eudicot
Lupinus leucophyllus,Lupinus,694.38,0.71,Eudicot
Lupinus sericeus,Lupinus,704.16,0.72,Eudicot
Lupinus albifrons,Lupinus,723.72,0.74,Eudicot
Lupinus bracteolaris,Lupinus,762.84,0.78,Eudicot
Lupinus atlanticus,Lupinus,792.18,0.81,Eudicot
Lupinus variicolor,Lupinus,821.52,0.84,Eudicot
Lupinus lepidus,Lupinus,831.3,0.85,Eudicot
Lupinus polyphyllus,Lupinus,831.3,0.85,Eudicot
Lupinus guaraniticus,Lupinus,850.86,0.87,Eudicot
Lupinus latifolius,Lupinus,850.86,0.87,Eudicot
Lupinus rivularis,Lupinus,860.64,0.88,Eudicot
Lupinus arboreus,Lupinus,880.2,0.9,Eudicot
Lupinus semperflorens,Lupinus,880.2,0.9,Eudicot
Lupinus lanatus,Lupinus,889.98,0.91,Eudicot
Lupinus angustifolius,Lupinus,909.54,0.93,Eudicot
Lupinus cryptanthus,Lupinus,909.54,0.93,Eudicot
Lupinus multiflorus,Lupinus,909.54,0.93,Eudicot
Lupinus magnistipulatus,Lupinus,919.32,0.94,Eudicot
Lupinus linifolius,Lupinus,919.32,0.94,Eudicot
Lupinus mutabilis,Lupinus,929.1,0.95,Eudicot
Lupinus reitzii,Lupinus,938.88,0.96,Eudicot
Lupinus luteus,Lupinus,978,1,Eudicot
Lupinus mexicanus,Lupinus,978,1,Eudicot
Lupinus hispanicus,Lupinus,1026.9,1.05,Eudicot
Lupinus texensis,Lupinus,1193.16,1.22,Eudicot
Lupinus albicaulis,Lupinus,1310.52,1.34,Eudicot
Luronium natans,Luronium,17242.14,17.63,Monocot
Luzula pilosa,Luzula,273.84,0.28,Monocot
Luzula divulgatiformis,Luzula,410.76,0.42,Monocot
Luzula pallescens,Luzula,420.54,0.43,Monocot
Luzula sudetica,Luzula,449.88,0.46,Monocot
Luzula exspectata,Luzula,469.44,0.48,Monocot
Luzula campestris,Luzula,479.22,0.49,Monocot
Luzula australasica,Luzula,518.34,0.53,Monocot
Luzula atrata,Luzula,616.14,0.63,Monocot
Luzula forsteri,Luzula,684.6,0.7,Monocot
Luzula sylvatica,Luzula,762.84,0.78,Monocot
Luzula multiflora,Luzula,919.32,0.94,Monocot
Luzula nivea,Luzula,929.1,0.95,Monocot
Luzula alpina,Luzula,1007.34,1.03,Monocot
Luzula divulgata,Luzula,1026.9,1.05,Monocot
Luzula lutea,Luzula,1056.24,1.08,Monocot
Luzula luzuloides,Luzula,1124.7,1.15,Monocot
Luzula multiflora,Luzula,1339.86,1.37,Monocot
Luzula pediformis,Luzula,1418.1,1.45,Monocot
Luzula pedemontana,Luzula,1613.7,1.65,Monocot
Luzula spicata,Luzula,1897.32,1.94,Monocot
Luzula elegans (originally listed as L. purpurea),Luzula,4185.84,4.28,Monocot
Lychnis coronaria,Lychnis,3080.7,3.15,Eudicot
Lycianthes asarifolia,Lycianthes,1545.24,1.58,Eudicot
Lycium elongatum,Lycium,1574.58,1.61,Eudicot
Lycium chilense,Lycium,1740.84,1.78,Eudicot
Lycium infaustum,Lycium,1877.76,1.92,Eudicot
Lycium chilense,Lycium,3178.5,3.25,Eudicot
Lycopersicon pimpinellifolium,Lycopersicon,831.3,0.85,Eudicot
Lycopersicon hirsutum,Lycopersicon,909.54,0.93,Eudicot
Lycopersicon humboldtii,Lycopersicon,909.54,0.93,Eudicot
Lycopersicon cheesemanii,Lycopersicon,909.54,0.93,Eudicot
Lycopersicon racemiflorum,Lycopersicon,978,1,Eudicot
Lycopersicon esculentum,Lycopersicon,1007.34,1.03,Eudicot
Lycopersicon racemigerum,Lycopersicon,1007.34,1.03,Eudicot
Lycopersicon peruvianum,Lycopersicon,1124.7,1.15,Eudicot
Lycopersicon pennellii,Lycopersicon,1202.94,1.23,Eudicot
Lycoris aurea,Lycoris,23912.1,24.45,Monocot
Lygeum spartum,Lygeum,13496.4,13.8,Monocot
Lysiana casuarinae,Lysiana,10787.34,11.03,Eudicot
Lysiana spathulata,Lysiana,10982.94,11.23,Eudicot
Lysiana subfalcata,Lysiana,11393.7,11.65,Eudicot
Lysiana linearifolia,Lysiana,12567.3,12.85,Eudicot
Lysiana murrayi,Lysiana,12596.64,12.88,Eudicot
Lysiana exocarpi,Lysiana,14943.84,15.28,Eudicot
Lysimachia punctata,Lysimachia,2161.38,2.21,Eudicot
Machaeranthera brevilingulata,Machaeranthera,831.3,0.85,Eudicot
Machaeranthera tenuis,Machaeranthera,1202.94,1.23,Eudicot
Machaeranthera boltoniae,Machaeranthera,1809.3,1.85,Eudicot
Machaeranthera parviflora,Machaeranthera,2229.84,2.28,Eudicot
Macrosolen cochinchinensis,Macrosolen,17144.34,17.53,Eudicot
Madhuca longifolia,Madhuca,968.22,0.99,Eudicot
Magnolia kobus,Magnolia,880.2,0.9,Basal Angiosperm
Magnolia grandiflora,Magnolia,4430.34,4.53,Basal Angiosperm
Magnolia liliiflora,Magnolia,4841.1,4.95,Basal Angiosperm
Magnolia soulangiana,Magnolia,5848.44,5.98,Basal Angiosperm
Maianthemum stellatum,Maianthemum,12000.06,12.27,Monocot
Maianthemum bifolium,Maianthemum,14963.4,15.3,Monocot
Maianthemum dilatatum,Maianthemum,16332.6,16.7,Monocot
Maianthemum racemosum,Maianthemum,16577.1,16.95,Monocot
Maianthemum canadense,Maianthemum,16968.3,17.35,Monocot
Maianthemum japonicum,Maianthemum,20097.9,20.55,Monocot
Maireana decalvans,Maireana,1398.54,1.43,Eudicot
Malcolmia nana,Malcolmia,224.94,0.23,Eudicot
Malcolmia flexuosa,Malcolmia,254.28,0.26,Eudicot
Malcolmia africana,Malcolmia,391.2,0.4,Eudicot
Malus tschonoskii,Malus,606.36,0.62,Eudicot
Malus yunnanensis,Malus,655.26,0.67,Eudicot
Malus ombrophila,Malus,655.26,0.67,Eudicot
Malus kansuensis,Malus,665.04,0.68,Eudicot
Malus honanensis,Malus,674.82,0.69,Eudicot
Malus prattii,Malus,684.6,0.7,Eudicot
Malus baccata,Malus,704.16,0.72,Eudicot
Malus fusca,Malus,713.94,0.73,Eudicot
Malus hupehensis,Malus,713.94,0.73,Eudicot
Malus sylvestris,Malus,723.72,0.74,Eudicot
Malus zhaojiaoensis,Malus,733.5,0.75,Eudicot
Malus prunifolia,Malus,733.5,0.75,Eudicot
Malus sieversii,Malus,733.5,0.75,Eudicot
Malus orientalis,Malus,733.5,0.75,Eudicot
Malus spectabilis,Malus,733.5,0.75,Eudicot
Malus floribunda,Malus,733.5,0.75,Eudicot
Malus sieboldii,Malus,753.06,0.77,Eudicot
Malus transitoria,Malus,753.06,0.77,Eudicot
Malus pumila,Malus,753.06,0.77,Eudicot
Malus ioensis,Malus,762.84,0.78,Eudicot
Malus asiatica,Malus,782.4,0.8,Eudicot
Malus rockii,Malus,792.18,0.81,Eudicot
Malus soulardii,Malus,792.18,0.81,Eudicot
Malus 'Golden Delicious',Malus,792.18,0.81,Eudicot
Malus micromalus,Malus,801.96,0.82,Eudicot
Malus trilobata,Malus,801.96,0.82,Eudicot
Malus florentina,Malus,811.74,0.83,Eudicot
Malus kirghisorum,Malus,831.3,0.85,Eudicot
Malus hupehensis,Malus,1036.68,1.06,Eudicot
Malus sikkimensis,Malus,1056.24,1.08,Eudicot
Malus sieboldii,Malus,1075.8,1.1,Eudicot
Malus toringoides,Malus,1075.8,1.1,Eudicot
Malus spectabilis,Malus,1075.8,1.1,Eudicot
Malus halliana,Malus,1075.8,1.1,Eudicot
Malus komarovii,Malus,1095.36,1.12,Eudicot
Malus sargentii,Malus,1114.92,1.14,Eudicot
Malus toringo,Malus,1183.38,1.21,Eudicot
Malus ioensis,Malus,1183.38,1.21,Eudicot
Malus coronaria,Malus,1183.38,1.21,Eudicot
Malus sikkimensis,Malus,1398.54,1.43,Eudicot
Malus sieboldii,Malus,1408.32,1.44,Eudicot
Malus komarovii,Malus,1427.88,1.46,Eudicot
Malus sargentii,Malus,1427.88,1.46,Eudicot
Malus toringoides,Malus,1447.44,1.48,Eudicot
Malus lancifolia,Malus,1467,1.5,Eudicot
Malus glaucescens,Malus,1515.9,1.55,Eudicot
Malus angustifolia,Malus,1525.68,1.56,Eudicot
Malus coronaria,Malus,1555.02,1.59,Eudicot
Malus sikkimensis,Malus,1731.06,1.77,Eudicot
Malus sargentii,Malus,1897.32,1.94,Eudicot
Malus sargentii,Malus,2092.92,2.14,Eudicot
Malus communis,Malus,2200.5,2.25,Eudicot
Malva parviflora,Malva,518.34,0.53,Eudicot
Malva sylvestris,Malva,1447.44,1.48,Eudicot
Mammillaria flavicentra,Mammillaria,1486.56,1.52,Eudicot
Mammillaria woodsii,Mammillaria,1515.9,1.55,Eudicot
Mammillaria supertexta,Mammillaria,1525.68,1.56,Eudicot
Mammillaria haageana,Mammillaria,1525.68,1.56,Eudicot
Mammillaria huitzilopochtli,Mammillaria,1525.68,1.56,Eudicot
Mammillaria albilanata,Mammillaria,1535.46,1.57,Eudicot
Mammillaria dixanthocentron,Mammillaria,1555.02,1.59,Eudicot
Mammillaria sanangelensis,Mammillaria,1564.8,1.6,Eudicot
Mammillaria crucigera,Mammillaria,1564.8,1.6,Eudicot
Mammillaria bocasana,Mammillaria,2004.9,2.05,Eudicot
Mammillaria boolii,Mammillaria,4498.8,4.6,Eudicot
Mammillaria bocasana,Mammillaria,4772.64,4.88,Eudicot
Mammillaria hahniana,Mammillaria,4792.2,4.9,Eudicot
Mammillaria grandiflora,Mammillaria,4987.8,5.1,Eudicot
Mammillaria zeilmanniana,Mammillaria,5652.84,5.78,Eudicot
Mammillaria occidentalis,Mammillaria,5965.8,6.1,Eudicot
Mammillaria plumosa,Mammillaria,6484.14,6.63,Eudicot
Mammillaria rhodantha,Mammillaria,6797.1,6.95,Eudicot
Manfreda (=Agave) sileri,Manfreda (=Agave),4743.3,4.85,Monocot
Manfreda (=Agave) variegata,Manfreda (=Agave),4792.2,4.9,Monocot
Manfreda (=Agave) maculosa,Manfreda (=Agave),4890,5,Monocot
Manfreda (=Agave) undulata,Manfreda (=Agave),4890,5,Monocot
Mangifera indica,Mangifera,440.1,0.45,Eudicot
Manihot esculenta,Manihot,811.74,0.83,Eudicot
Maranta arundinacea,Maranta,371.64,0.38,Monocot
Maranta bicolor,Maranta,518.34,0.53,Monocot
Maranta leuconeura,Maranta,537.9,0.55,Monocot
Marcetella moquiniana,Marcetella,381.42,0.39,Eudicot
Masoala madagascariensis,Masoala,2621.04,2.68,Monocot
Massonia sp.,Massonia,2982.9,3.05,Monocot
Massonia pustulata,Massonia,3119.82,3.19,Monocot
Massonia depressa,Massonia,3286.08,3.36,Monocot
Matricaria matricarioides,Matricaria,2278.74,2.33,Eudicot
Matricaria discoidea,Matricaria,2396.1,2.45,Eudicot
Matricaria chamomilla,Matricaria,3794.64,3.88,Eudicot
Matthiola fruticulosa,Matthiola,1564.8,1.6,Eudicot
Matthiola chorassanica,Matthiola,1682.16,1.72,Eudicot
Matthiola incana,Matthiola,2063.58,2.11,Eudicot
Matthiola sinuata,Matthiola,2200.5,2.25,Eudicot
Matthiola maderensis,Matthiola,2239.62,2.29,Eudicot
Mauritia flexuosa,Mauritia,4625.94,4.73,Monocot
Mauritiella aculeata,Mauritiella,7119.84,7.28,Monocot
Mausolea eriocarpa,Mausolea,6748.2,6.9,Eudicot
Medemia argun,Medemia,3550.14,3.63,Monocot
Medeola virginica,Medeola,13887.6,14.2,Monocot
Medicago truncatula,Medicago,469.44,0.48,Eudicot
Medicago quasifalcata,Medicago,831.3,0.85,Eudicot
Medicago sativa,Medicago,841.08,0.86,Eudicot
Medicago lupulina,Medicago,860.64,0.88,Eudicot
Medicago coerulea,Medicago,880.2,0.9,Eudicot
Medicago sativa,Medicago,1711.5,1.75,Eudicot
Medicago arborea,Medicago,1760.4,1.8,Eudicot
Medicago glutinosa,Medicago,1907.1,1.95,Eudicot
Medusagyne oppositifolia,Medusagyne,322.74,0.33,Eudicot
Melaleuca quinquenervia,Melaleuca,948.66,0.97,Eudicot
Melaleuca leucadendra,Melaleuca,1105.14,1.13,Eudicot
Melampyrum arvense,Melampyrum,8058.72,8.24,Eudicot
Melandrium album,Melandrium,2816.64,2.88,Eudicot
Melia azedarach,Melia,420.54,0.43,Eudicot
Melia birmanica,Melia,469.44,0.48,Eudicot
Melianthus major,Melianthus,625.92,0.64,Eudicot
Melica ciliata,Melica,2474.34,2.53,Monocot
Melicope ternata,Melicope,909.54,0.93,Eudicot
Melilotus officinalis,Melilotus,1105.14,1.13,Eudicot
Melilotus altissima,Melilotus,1202.94,1.23,Eudicot
Melilotus alba,Melilotus,1300.74,1.33,Eudicot
Melissa officinalis,Melissa,782.4,0.8,Eudicot
Melittis melissophyllum,Melittis,469.44,0.48,Eudicot
Mentha piperita,Mentha,322.74,0.33,Eudicot
Mentha longifolia,Mentha,381.42,0.39,Eudicot
Mentha aquatica,Mentha,1467,1.5,Eudicot
Mercurialis annua,Mercurialis,645.48,0.66,Eudicot
Mercurialis huetii,Mercurialis,704.16,0.72,Eudicot
Mercurialis annua,Mercurialis,1271.4,1.3,Eudicot
Mercurialis canariensis,Mercurialis,1584.36,1.62,Eudicot
Mercurialis annua,Mercurialis,1907.1,1.95,Eudicot
Mercurialis perennis,Mercurialis,2298.3,2.35,Eudicot
Merrilliodendron megacarpum,Merrilliodendron,1066.02,1.09,Eudicot
Mesembryanthemum crystallinum,Mesembryanthemum,420.54,0.43,Eudicot
Mespilus germanica,Mespilus,733.5,0.75,Eudicot
Mespilus canescens,Mespilus,1114.92,1.14,Eudicot
Mibora minima,Mibora,2689.5,2.75,Monocot
Microlaena stipoides,Microlaena,899.76,0.92,Monocot
Microlaena polynoda,Microlaena,1163.82,1.19,Monocot
Microlaena carsei,Microlaena,1594.14,1.63,Monocot
Microlaena avenacea,Microlaena,1662.6,1.7,Monocot
Micromeria hyssopifolia,Micromeria,352.08,0.36,Eudicot
Micromeria lachnophylla,Micromeria,361.86,0.37,Eudicot
Micromeria varia,Micromeria,371.64,0.38,Eudicot
Micromeria herpyllomorpha,Micromeria,371.64,0.38,Eudicot
Micromeria thymifolia,Micromeria,430.32,0.44,Eudicot
Micromeria glomerata,Micromeria,430.32,0.44,Eudicot
Micromeria pseudocroatica,Micromeria,645.48,0.66,Eudicot
Microseris douglasii,Microseris,1173.6,1.2,Eudicot
Microseris elegans,Microseris,1398.54,1.43,Eudicot
Microseris pygmaea,Microseris,1398.54,1.43,Eudicot
Microseris bigelovii,Microseris,1467,1.5,Eudicot
Microseris lindleyi,Microseris,1956,2,Eudicot
Microseris paludosa,Microseris,3031.8,3.1,Eudicot
Microseris laciniata,Microseris,3276.3,3.35,Eudicot
Microseris sylvatica,Microseris,3354.54,3.43,Eudicot
Microseris nutans,Microseris,3423,3.5,Eudicot
Microseris borealis,Microseris,3912,4,Eudicot
Microseris scapigera,Microseris,5721.3,5.85,Eudicot
Microstylis wallichii,Microstylis,2445,2.5,Monocot
Microtea scabrida,Microtea,2034.24,2.08,Eudicot
Milium vernale,Milium,2816.64,2.88,Monocot
Milium effusum,Milium,3863.1,3.95,Monocot
Milium montianum,Milium,5036.7,5.15,Monocot
Millettia tetraptera,Millettia,1731.06,1.77,Eudicot
Millettia ovalifolia,Millettia,1956,2,Eudicot
Miltonia clowesii,Miltonia,3716.4,3.8,Monocot
Miltonia regnellii,Miltonia,4596.6,4.7,Monocot
Miltonia phymatochila,Miltonia,5603.94,5.73,Monocot
Mimosa pudica,Mimosa,586.8,0.6,Eudicot
Mimosa invisa,Mimosa,665.04,0.68,Eudicot
Mimulus guttatus,Mimulus,361.86,0.37,Eudicot
Mimusops elengi,Mimusops,273.84,0.28,Eudicot
Minthostachys spicata,Minthostachys,801.96,0.82,Eudicot
Minthostachys latifolia,Minthostachys,811.74,0.83,Eudicot
Minthostachys mollis,Minthostachys,821.52,0.84,Eudicot
Minthostachys rubra,Minthostachys,831.3,0.85,Eudicot
Minthostachys verticillata,Minthostachys,841.08,0.86,Eudicot
Minthostachys acutifolia,Minthostachys,850.86,0.87,Eudicot
Minthostachys dimorpha,Minthostachys,850.86,0.87,Eudicot
Minthostachys acris,Minthostachys,860.64,0.88,Eudicot
Minthostachys andina,Minthostachys,860.64,0.88,Eudicot
Minthostachys ovata,Minthostachys,870.42,0.89,Eudicot
Minuartia verna,Minuartia,567.24,0.58,Eudicot
Minuartia graminifolia,Minuartia,929.1,0.95,Eudicot
Minuartia gerardii,Minuartia,1066.02,1.09,Eudicot
Mirabilis jalapa,Mirabilis,1163.82,1.19,Eudicot
Miscanthus sinensis,Miscanthus,2591.7,2.65,Monocot
Miscanthus x giganteus,Miscanthus,3423,3.5,Monocot
Miscanthus sacchariflorus,Miscanthus,4107.6,4.2,Monocot
Mitragyna parviflora,Mitragyna,948.66,0.97,Eudicot
Mitriostigma axillaris,Mitriostigma,889.98,0.91,Eudicot
Molinia caerulea,Molinia,2396.1,2.45,Monocot
Mollinedia sp.,Mollinedia,958.44,0.98,Basal Angiosperm
Mollinedia sp.,Mollinedia,1075.8,1.1,Basal Angiosperm
Moltkia petraea,Moltkia,821.52,0.84,Eudicot
Momordica charantia,Momordica,2004.9,2.05,Eudicot
Monanthes muralis,Monanthes,498.78,0.51,Eudicot
Monanthes polyphylla,Monanthes,635.7,0.65,Eudicot
Monanthes laxiflora,Monanthes,655.26,0.67,Eudicot
Monanthes brachycaulos,Monanthes,723.72,0.74,Eudicot
Monanthes anagensis,Monanthes,880.2,0.9,Eudicot
Monocostus uniflorus,Monocostus,978,1,Monocot
Monodora sp.,Monodora,1447.44,1.48,Basal Angiosperm
Monstera deliciosa,Monstera,4694.4,4.8,Monocot
Monstera obliqua,Monstera,8802,9,Monocot
Montia fontana,Montia,586.8,0.6,Eudicot
Montia perfoliata,Montia,2132.04,2.18,Eudicot
Montinia caryophyllacea,Montinia,557.46,0.57,Eudicot
Moraea fugax,Moraea,8440.14,8.63,Monocot
Moraea anomala,Moraea,9320.34,9.53,Monocot
Moraea ciliata,Moraea,9613.74,9.83,Monocot
Moraea inconspicua,Moraea,9760.44,9.98,Monocot
Moraea bipartita,Moraea,9926.7,10.15,Monocot
Moraea unguiculata,Moraea,10396.14,10.63,Monocot
Moraea atropunctata,Moraea,14034.3,14.35,Monocot
Moraea calcicola,Moraea,15432.84,15.78,Monocot
Moraea villosa,Moraea,30689.64,31.38,Monocot
Moraea tulbhagensis,Moraea,30689.64,31.38,Monocot
Moricandia arvensis,Moricandia,635.7,0.65,Eudicot
Morina longifolia,Morina,655.26,0.67,Eudicot
Morinda pubescens,Morinda,606.36,0.62,Eudicot
Morinda tinctoria,Morinda,665.04,0.68,Eudicot
Moringa pterygosperma,Moringa,586.8,0.6,Eudicot
Morisia monanthos,Morisia,772.62,0.79,Eudicot
Morus alba,Morus,831.3,0.85,Eudicot
Muellerina bidwilli,Muellerina,4841.1,4.95,Eudicot
Muellerina eucalyptoides,Muellerina,6308.1,6.45,Eudicot
Murraya paniculata,Murraya,489,0.5,Eudicot
Murraya koenigii,Murraya,635.7,0.65,Eudicot
Murraya exotica,Murraya,713.94,0.73,Eudicot
Musa balbisiana,Musa,567.24,0.58,Monocot
Musa schizocarpa,Musa,586.8,0.6,Monocot
Musa laterita,Musa,596.58,0.61,Monocot
Musa ornata,Musa,606.36,0.62,Monocot
Musa velutina,Musa,606.36,0.62,Monocot
Musa acuminata,Musa,616.14,0.63,Monocot
Musa textilis,Musa,616.14,0.63,Monocot
Musa mannii,Musa,616.14,0.63,Monocot
Musa violascens,Musa,694.38,0.71,Monocot
Musa maclayi,Musa,723.72,0.74,Monocot
Musa peekelii,Musa,753.06,0.77,Monocot
Musa beccarii,Musa,762.84,0.78,Monocot
Muscari adilii,Muscari,2542.8,2.6,Monocot
Muscari mcbeathianum,Muscari,2982.9,3.05,Monocot
Muscari aucheri,Muscari,3960.9,4.05,Monocot
Muscari armeniacum,Muscari,4205.4,4.3,Monocot
Muscari azureum,Muscari,4704.18,4.81,Monocot
Muscari latifolium,Muscari,4743.3,4.85,Monocot
Muscari tenuiflorum,Muscari,4850.88,4.96,Monocot
Muscari moschatum,Muscari,6092.94,6.23,Monocot
Muscari comosum,Muscari,6210.3,6.35,Monocot
Musschia aurea,Musschia,498.78,0.51,Eudicot
Myagrum perfoliatum,Myagrum,283.62,0.29,Eudicot
Mycelis muralis,Mycelis,1956,2,Eudicot
Myoporum mauritianum,Myoporum,1897.32,1.94,Eudicot
Myosotis scorpioides,Myosotis,1369.2,1.4,Eudicot
Myosotis palustris,Myosotis,2621.04,2.68,Eudicot
Myosurus minimus,Myosurus,1075.8,1.1,Eudicot
Myrciaria glazioviana,Myrciaria,234.72,0.24,Eudicot
Myrica gale,Myrica,410.76,0.42,Eudicot
Myriophyllum spicatum,Myriophyllum,244.5,0.25,Eudicot
Myriophyllum proserpinacoides,Myriophyllum,469.44,0.48,Eudicot
Myriophyllum alterniflorum,Myriophyllum,537.9,0.55,Eudicot
Myristica fragrans,Myristica,1173.6,1.2,Basal Angiosperm
Myristica dactyloides,Myristica,1418.1,1.45,Basal Angiosperm
Myrmecodia echinata,Myrmecodia,1486.56,1.52,Eudicot
Myrrhis odorata,Myrrhis,831.3,0.85,Eudicot
Myrsine africana,Myrsine,1202.94,1.23,Eudicot
Myzorrhiza californica,Myzorrhiza,2112.48,2.16,Eudicot
Myzorrhiza pinorum,Myzorrhiza,2268.96,2.32,Eudicot
Nandina domestica,Nandina,2151.6,2.2,Eudicot
Narcissus hedraeanthus,Narcissus,6405.9,6.55,Monocot
Narcissus bulbocodium,Narcissus,6943.8,7.1,Monocot
Narcissus cantabricus,Narcissus,7090.5,7.25,Monocot
Narcissus lusitanicus,Narcissus,8264.1,8.45,Monocot
Narcissus pallidulus,Narcissus,8802,9,Monocot
Narcissus assoanus,Narcissus,9193.2,9.4,Monocot
Narcissus triandrus,Narcissus,9291,9.5,Monocot
Narcissus gaditanus,Narcissus,9437.7,9.65,Monocot
Narcissus primigenius,Narcissus,10611.3,10.85,Monocot
Narcissus jacetanus,Narcissus,10904.7,11.15,Monocot
Narcissus pseudonarcissus,Narcissus,11491.5,11.75,Monocot
Narcissus radiiflorus,Narcissus,11784.9,12.05,Monocot
Narcissus asturiensis,Narcissus,11833.8,12.1,Monocot
Narcissus poeticus,Narcissus,11902.26,12.17,Monocot
Narcissus hispanicus,Narcissus,12616.2,12.9,Monocot
Narcissus cyclamineus,Narcissus,12714,13,Monocot
Narcissus moleroi,Narcissus,12762.9,13.05,Monocot
Narcissus scaberulus,Narcissus,12860.7,13.15,Monocot
Narcissus abscissus,Narcissus,12909.6,13.2,Monocot
Narcissus obesus,Narcissus,12958.5,13.25,Monocot
Narcissus rupicola,Narcissus,13007.4,13.3,Monocot
Narcissus calcicola,Narcissus,13007.4,13.3,Monocot
Narcissus romieuxii,Narcissus,14083.2,14.4,Monocot
Narcissus bujei,Narcissus,14670,15,Monocot
Narcissus elegans,Narcissus,14767.8,15.1,Monocot
Narcissus tazetta,Narcissus,14816.7,15.15,Monocot
Narcissus cuatrecasasii,Narcissus,15501.3,15.85,Monocot
Narcissus jonquilla,Narcissus,16039.2,16.4,Monocot
Narcissus cavanillesii,Narcissus,16283.7,16.65,Monocot
Narcissus papyraceus,Narcissus,16479.3,16.85,Monocot
Narcissus poeticus,Narcissus,16899.84,17.28,Monocot
Narcissus longispathus,Narcissus,17604,18,Monocot
Narcissus broussonetii,Narcissus,18288.6,18.7,Monocot
Narcissus nevadensis,Narcissus,18679.8,19.1,Monocot
Narcissus hispanicus,Narcissus,19217.7,19.65,Monocot
Narcissus serotinus,Narcissus,21447.54,21.93,Monocot
Narcissus blanchardii,Narcissus,25036.8,25.6,Monocot
Narcissus miniatus,Narcissus,25085.7,25.65,Monocot
Narcissus viridiflorus,Narcissus,31051.5,31.75,Monocot
Narcissus dubius,Narcissus,32420.7,33.15,Monocot
Narcissus pseudonarcissus,Narcissus,33105.3,33.85,Monocot
Nardostachys jatamansi,Nardostachys,1711.5,1.75,Eudicot
Nardus stricta,Nardus,2053.8,2.1,Monocot
Narthecium ossifragum,Narthecium,400.98,0.41,Monocot
